# Kuratierte Schweizer Adressen für DEV Live-UI-Smoke.
# Pro Lauf wird deterministisch eine andere Adresse via DEV_UI_SMOKE_RUN_ID ausgewählt.
Bahnhofstrasse 1, 8001 Zürich
Fraumünsterstrasse 8, 8001 Zürich
Limmatquai 55, 8001 Zürich
Bundesplatz 3, 3005 Bern
Kramgasse 49, 3011 Bern
Bubenbergplatz 8, 3011 Bern
Rue du Rhône 8, 1204 Genève
Rue de Lausanne 20, 1201 Genève
Place de Cornavin 4, 1201 Genève
Bahnhofplatz 1, 6003 Luzern
Pilatusstrasse 18, 6003 Luzern
Falkenplatz 14, 9000 St. Gallen
Bahnhofstrasse 10, 9000 St. Gallen
Marktgasse 28, 4051 Basel
Freie Strasse 70, 4051 Basel
Rue du Simplon 12, 1006 Lausanne
Place Saint-François 16, 1003 Lausanne
Avenue de la Gare 33, 1003 Lausanne
Corso Elvezia 16, 6900 Lugano
Via Nassa 21, 6900 Lugano
Bahnhofplatz 2, 7000 Chur
Seestrasse 5, 8002 Zürich
Badenerstrasse 120, 8004 Zürich
Rue de Bourg 7, 1003 Lausanne
Rue de la Rôtisserie 6, 1204 Genève
